Product Name,Category,Price,Rating,Num Ratings,Description,Amazon Link,Local Image File,Catalog Slug
"Yaheetech 69"" XL Bird Cage (mid-sized parrots)",Enclosures & Cages,$186.99,4.7,1679,"Extra-large wrought iron parrot cage, 3/8"" bar spacing, fits 4-5 small to medium birds; 2 locking front doors plus 10 feeder doors, 3-tier design with detachable rolling stand.",https://amzn.to/3TFxuYR,product-88.jpg,bird-cage-yaheetech-69in-xl
"Prevue Hendryx Wrought Iron Flight Cage (5 ft, rolling)",Enclosures & Cages,$299.99,4.6,1737,"Extra-large 5 ft flight cage for multiple small birds to fly and climb; 3 wooden perches, bottom shelf stand, double front doors plus six side doors.",https://amzn.to/4ymrwMJ,product-89.jpg,bird-cage-prevue-wrought-iron-flight-5ft
Prevue Steel Bird Flight Cage with Wheels (Large),Enclosures & Cages,$189.99,4.5,3997,"Rolling steel flight cage and stand for several small birds (parakeets, canaries, finches); removable floor grille and debris tray, two front doors plus 4 feeder/nest doors.",https://amzn.to/4yJx5Fd,product-90.jpg,bird-cage-prevue-steel-flight-large
"Yaheetech 61"" Playtop Parrot Cage (rolling stand)",Enclosures & Cages,$159.99,4.5,2549,"Playtop cage with rooftop ladder and wooden dowel perch, 2 feeding bowls, slide-out tray; lockable front and feeding doors.",https://amzn.to/4vxCxry,product-91.jpg,bird-cage-yaheetech-61in-playtop
Vision M02 Wire Bird Cage (Tall Medium),Enclosures & Cages,$78.99,4.4,4112,"Wire cage for budgies, canaries, finches, parrotlets and lineolated parakeets; debris guard and detachable base for easy cleaning.",https://amzn.to/3TadcGQ,product-92.jpg,bird-cage-vision-m02-tall-medium
Prevue Hendryx Flight Cage (Blue and Black),Enclosures & Cages,$149.99,4.3,39,"Flight cage designed to house multiple parakeets, canaries or finches; two large front doors for easy access.",https://amzn.to/3T7QNtN,product-93.jpg,bird-cage-prevue-flight-blue-black
"Bungee Rope Perch, 23.6"" (colorful climbing swing)",Decor & Enrichment,$6.98,4.7,328,"Cotton-wrapped bungee rope perch with a bendable internal wire core so you can reshape it; thick, non-slip weave for a secure grip.",https://amzn.to/3T7QOhl,product-94.jpg,bird-perch-rope-bungee-23in
"Cotton Rope Perches with Bell, 63"" (2 pack)",Decor & Enrichment,$18.99,4.7,632,"Two 63-inch soft cotton spiral rope perches with a bell; bendable internal steel wire, natural coloring, no odor.",https://amzn.to/4ypWNOD,product-95.jpg,bird-perch-rope-63in-2pack
"LIMIO 6-Piece Bird Perch Set (natural wood, grinding forks)",Decor & Enrichment,$23.99,4.6,463,"6-piece natural wood perch set: 2 grape-stick grinding forks, 2 parakeet perches, 1 round platform, 1 square platform.",https://amzn.to/3SX5MXx,product-96.jpg,bird-perch-limio-6pc-set
"8-Piece Natural Wood Bird Perch Set (fork toys, hammock swing)",Decor & Enrichment,$12.99,4.6,402,"8-piece untreated natural wood set: perch stands, fork toys, a hanging multi-branch platform, and a hammock swing.",https://amzn.to/4vteIkJ,product-97.jpg,bird-perch-natural-wood-8pc-set
CZWESTC 8-Piece Apple Wood Perch Set,Decor & Enrichment,$12.99,4.4,1722,"8-piece apple wood and hardwood set (2 round platforms, 3 straight perches, 3 forked branches) sized for budgies, parakeets and cockatiels; not recommended for large parrots.",https://amzn.to/3TadpK8,product-98.jpg,bird-perch-czwestc-8pc-apple-wood
