Addresses Gap,Product Name,Price,Rating,Num Ratings,Amazon Link,Affiliate Link (beastlyfacts-20),Image URL,ASIN
Sugar glider-specific vitamin/calcium supplement (Sugar Glider),Exotic Nutrition Sugar Glider Vitamin Combo Pack - Powder Multivitamin & Powder Calcium Supplement for Pet Sugar Gliders,$18.99,4.4,206,https://www.amazon.com/dp/B08DP3H5N9,https://www.amazon.com/dp/B08DP3H5N9?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/619vZNjrzVL._AC_SX679_.jpg,B08DP3H5N9
"Herbivorous tortoise/turtle calcium, no added phosphorus (Box Turtle, Russian Tortoise)",Sulcata Tortoise Calcium & Multivitamin Powder - Herpetologist Formulated Vitamin and Mineral Powder for Reptiles with High Fiber - 30 Day Supply in Shaker Bottle for Tortoise Lovers!,$24.79,4.7,84,https://www.amazon.com/dp/B0F79VJMKD,https://www.amazon.com/dp/B0F79VJMKD?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81ts3EcRoEL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0F79VJMKD
"Fine-tip precision tweezers (Jumping Spider, Tarantula)","Entomology Forceps Set by MMOBIEL [5 Pcs] – Stainless Steel Precision Instruments with Rubber Tip Forceps Tweezers for Entomology, Insect/Bug/Butterfly Pinning, Dissecting, Taxidermy and Delicate Work",$13.99,4.4,143,https://www.amazon.com/dp/B0DCJXXMCT,https://www.amazon.com/dp/B0DCJXXMCT?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/61KH2wzP7nL._AC_SX679_.jpg,B0DCJXXMCT
Short soft-tipped tongs (Pacman Frog),"4-Pack Reptile Feeding Tongs Set - Hygienic Anti-Slip Green Tweezers for Bearded Dragons, Lizards, Snakes, Aquariums & Small Animals (Five Colors to Choose from)",$8.99,4.6,25,https://www.amazon.com/dp/B0FB3PRD2Y,https://www.amazon.com/dp/B0FB3PRD2Y?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71YgVsnKxiL._AC_SX679_.jpg,B0FB3PRD2Y
Deep burrowing sand mix (Hognose Snake),"Zoo Med ReptiSand, 10 Pounds, Desert White | Natural, For Bearded Dragons, Leopard Geckos & Desert Species, Chemical-Free, Ideal for Digging, Burrowing & Egg Laying",$12.99,4.8,5543,https://www.amazon.com/dp/B0002DIZKC,https://www.amazon.com/dp/B0002DIZKC?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81t2BWzkDfL._AC_SY450_.jpg,B0002DIZKC
Hermit crab sand/coco-fiber mix (Hermit Crab),"Fluker's All Natural Premium Hermit Crab Sand Substrate, Sand Mixture with Coconut Fiber, For Hermit Crab Tanks, 12 lbs",$15.93,4.8,569,https://www.amazon.com/dp/B0B52DC9VB,https://www.amazon.com/dp/B0B52DC9VB?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81g4W1bmbDL._AC_SY450_.jpg,B0B52DC9VB
Tarantula - Coconut fiber and peat substrate (distinct from bioactive-substrate-mix),"VCEPJH Loose Coconut Fiber Substrate, 2 Pack Natural Coco Coir Reptile Bedding Tarantula Substrate Soil Habitat Accessories for Tortoise Snake Bearded Dragon Spiders Hermit Crabs",$17.99,4.3,43,https://www.amazon.com/dp/B0CY23K32S,https://www.amazon.com/dp/B0CY23K32S?tag=beastlyfacts-20,"https://m.media-amazon.com/images/I/81qFeLRa8ZL._AC_SX679_PIbundle-2,TopRight,0,0_SH20_.jpg",B0CY23K32S
"High-output UVB bulb, 10-12% or mercury vapor (Ackie Monitor, Argentine B&W Tegu, Blue Tongue Skink, Savannah Monitor, Uromastyx)","Zoo Med ReptiSun T5 HO Terrarium Hood with 10.0 Bulb 24"" L",$79.99,4.6,49,https://www.amazon.com/dp/B0FF9GHCDC,https://www.amazon.com/dp/B0FF9GHCDC?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/51ECzpMGCHL._AC_SX679_.jpg,B0FF9GHCDC
"Basking-dock combo fixture, high-output T5 HO or mercury-vapor (Box Turtle, Red-Eared Slider, Russian Tortoise)","Mega-Ray Mercury Vapor UV Light Bulb/Lamp for Reptile and Amphibian Use Tortoise Lizard, UVA UVB, High-Intensity Heat Bulb of UV and Basking - 160 Watts (120V)",$48.95,4.4,1305,https://www.amazon.com/dp/B00TRI4NPY,https://www.amazon.com/dp/B00TRI4NPY?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71zGetTOIBL._AC_SY445_SX342_QL70_FMwebp_.jpg,B00TRI4NPY
"24x24x48 in all-screen enclosure (Jackson's Chameleon, Veiled Chameleon)",Zoo Med Reptibreeze Open Air Screen Cage 24x24x48,$172.99,4.2,1778,https://www.amazon.com/dp/B001PHABI8,https://www.amazon.com/dp/B001PHABI8?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71TrZlBZeNL._AC_SX679_.jpg,B001PHABI8
"Large water tub for soaking (Argentine B&W Tegu, Savannah Monitor)","Reptile Tray (38""x38"") Bathing Pool basking Platform for Aquatic Turtle Bearded Dragon Lizard Gecko Frog, Plastic Outdoor Water Shallow Bowl Grey Large",$109.90,4.8,37,https://www.amazon.com/dp/B0FNVWJRQL,https://www.amazon.com/dp/B0FNVWJRQL?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71Ae0qKGSwL._AC_SX679_.jpg,B0FNVWJRQL
"Cork bark - small arboreal set (Gargoyle Gecko, Crested Gecko)",Zoo Med Natural Cork Bark Round - Small (2),$32.00,4.3,1174,https://www.amazon.com/dp/B00DDZ55D6,https://www.amazon.com/dp/B00DDZ55D6?tag=beastlyfacts-20,"https://m.media-amazon.com/images/I/81Y5W3kbGtL._AC_SX679_PIbundle-2,TopRight,0,0_SH20_.jpg",B00DDZ55D6
Cork bark - medium terrestrial set (Milk Snake),"Zoo Med Natural Cork Rounds Medium (7""-10"" Long) (3)",$43.99,4.5,63,https://www.amazon.com/dp/B01F654UHM,https://www.amazon.com/dp/B01F654UHM?tag=beastlyfacts-20,"https://m.media-amazon.com/images/I/61O2e3U6HhL._AC_SX679_PIbundle-3,TopRight,0,0_SH20_.jpg",B01F654UHM
"Climbing branches/cork bark - large pieces, 10-20+ gal tanks (Hermit Crab)","Zoo Med Natural Cork Bark, Round, Extra Large",$35.45,4.6,320,https://www.amazon.com/dp/B001F9ANVG,https://www.amazon.com/dp/B001F9ANVG?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/61hnVYAjIkL._AC_SX679_.jpg,B001F9ANVG
Climbing branches/cork bark - small/miniature pieces (Jumping Spider),"Cork Bark Bits - for Orchids, Airplants, Reptiles, Frogs, Springtails, Isopods, Terrariums, and Crafts (8)",$18.99,4.3,213,https://www.amazon.com/dp/B0C7D8XSJ9,https://www.amazon.com/dp/B0C7D8XSJ9?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71LAec4bULL._AC_SX300_SY300_QL70_FMwebp_.jpg,B0C7D8XSJ9
Chinchilla mineral/pumice chews,"PINVNBY 9 Pcs Lava Blocks for Chinchillas, Hamster Chew Stones Square Mineral Calcium Bunny Teeth Pumice Grinding Chew Toys for Guinea Pig Rat Rodent",$9.99,4.4,364,https://www.amazon.com/dp/B0F6V5ZZR6,https://www.amazon.com/dp/B0F6V5ZZR6?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/716kNd0L+nL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0F6V5ZZR6
"Guinea pig chew toys, smaller/softer","Rabbit Chew Toys, Toys for Guinea Pigs & Hamsters - Natural Chew Sticks & Balls Set for Small Animals, Dental Care Treats for Chinchillas, Bunny - 20+ Toys for Teeth Health (32 Pieces)",$11.99,4.8,28,https://www.amazon.com/dp/B0G41RJPZJ,https://www.amazon.com/dp/B0G41RJPZJ?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81L0irk1vXL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0G41RJPZJ
"Rabbit chew toys, larger/tougher","2.2Lb/1000g Natural Sweet Bamboo Chew Toys Chew Sticks Bamboo Sticks Teething Toy for Rabbit, Bunny, Guinea Pig, Hamster, Chinchilla, Bunny, Rat and Other Small Animals",$14.98,4.7,111,https://www.amazon.com/dp/B0FNM64GL1,https://www.amazon.com/dp/B0FNM64GL1?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81SmnEe0P2L._AC_SY450_.jpg,B0FNM64GL1
